equipment_id,region,country,equipment_type,building_type,installation_year,equipment_age,contract_type,is_connected_2023,is_connected_2024,is_connected_2025
EQ00073,Greater China,China,Automatic Door,Commercial,2009,16,Basic Maintenance,False,False,False
EQ00074,Americas,Canada,Elevator,Residential,2014,11,Full Maintenance,True,False,False
EQ00075,Americas,USA,Elevator,Residential,1997,28,Full Maintenance,False,True,False
EQ00076,Americas,Canada,Automatic Door,Industrial,1995,30,Basic Maintenance,False,False,False
EQ00077,Americas,USA,Escalator,Industrial,1996,29,Full Maintenance,False,False,True
EQ00078,Greater China,China,Escalator,Residential,2008,17,Full Maintenance,False,False,True
EQ00079,Greater China,China,Autowalk,Residential,2003,22,Full Maintenance,True,False,False
EQ00080,Greater China,China,Elevator,Public / Transport,2013,12,Full Maintenance,True,False,False
EQ00081,APMEA,UAE,Escalator,Residential,2024,1,Full Maintenance,False,True,True
EQ00082,Europe,Germany,Elevator,Residential,2006,19,Repair Only,False,False,True
EQ00083,Greater China,China,Escalator,Residential,2012,13,Basic Maintenance,False,False,False
EQ00084,Greater China,China,Elevator,Public / Transport,2007,18,Full Maintenance,False,False,True
EQ00085,Greater China,China,Elevator,Residential,2020,5,Full Maintenance,False,False,False
EQ00086,Greater China,China,Elevator,Residential,2022,3,Full Maintenance,False,False,False
EQ00087,Americas,USA,Elevator,Industrial,2021,4,Full Maintenance,True,True,True
EQ00088,Europe,Finland,Escalator,Residential,2024,1,Repair Only,False,True,False
EQ00089,APMEA,UAE,Elevator,Commercial,1995,30,Full Maintenance,False,True,False
EQ00090,Europe,France,Elevator,Residential,2020,5,Repair Only,True,False,False
EQ00091,Greater China,China,Elevator,Industrial,2017,8,Full Maintenance,False,True,True
EQ00092,Americas,USA,Elevator,Healthcare,2001,24,Basic Maintenance,False,True,True
EQ00093,Americas,USA,Escalator,Residential,2023,2,Full Maintenance,False,False,False
EQ00094,Europe,Netherlands,Escalator,Residential,1999,26,Full Maintenance,False,False,True
EQ00095,Americas,USA,Escalator,Commercial,2015,10,Full Maintenance,False,False,True
EQ00096,Europe,Sweden,Autowalk,Public / Transport,2001,24,Basic Maintenance,True,False,True
EQ00097,Europe,Finland,Escalator,Public / Transport,2007,18,Basic Maintenance,False,False,True
EQ00098,Europe,Finland,Elevator,Commercial,2016,9,Basic Maintenance,False,True,True
EQ00099,Greater China,China,Escalator,Commercial,2011,14,Basic Maintenance,False,False,True
EQ00100,Greater China,China,Autowalk,Industrial,2007,18,Basic Maintenance,True,False,False
EQ00101,Greater China,China,Elevator,Residential,2004,21,Full Maintenance,True,False,False
EQ00102,Europe,Germany,Escalator,Residential,2020,5,Full Maintenance,False,False,True
EQ00103,Greater China,China,Escalator,Commercial,1999,26,Basic Maintenance,False,False,False
EQ00104,Europe,Sweden,Elevator,Commercial,2007,18,Basic Maintenance,False,False,True
EQ00105,APMEA,Saudi Arabia,Elevator,Residential,2022,3,Basic Maintenance,False,True,False
EQ00106,Greater China,China,Elevator,Industrial,2020,5,Full Maintenance,False,False,True
EQ00107,Europe,Germany,Automatic Door,Residential,2007,18,Full Maintenance,False,True,True
EQ00108,Americas,USA,Escalator,Residential,2017,8,Repair Only,False,False,False
EQ00109,Greater China,China,Elevator,Commercial,2019,6,Basic Maintenance,False,False,True
EQ00110,Greater China,China,Autowalk,Residential,2021,4,Full Maintenance,True,False,False
EQ00111,Greater China,China,Elevator,Commercial,2011,14,Basic Maintenance,False,False,True
EQ00112,Greater China,China,Elevator,Residential,2001,24,Repair Only,False,False,True
EQ00113,APMEA,India,Escalator,Industrial,2002,23,Full Maintenance,False,True,False
EQ00114,Americas,USA,Escalator,Commercial,2003,22,Basic Maintenance,True,True,False
EQ00115,Europe,Sweden,Elevator,Commercial,2012,13,Repair Only,False,False,True
EQ00116,APMEA,South Korea,Elevator,Commercial,1995,30,Repair Only,False,False,True
EQ00117,Americas,Canada,Elevator,Residential,2014,11,Repair Only,False,False,True
EQ00118,Greater China,China,Elevator,Public / Transport,2005,20,Full Maintenance,True,False,False
EQ00119,APMEA,Saudi Arabia,Elevator,Commercial,2003,22,Full Maintenance,False,True,False
EQ00120,Europe,Germany,Elevator,Healthcare,2021,4,Full Maintenance,False,True,True
EQ00121,Americas,Brazil,Elevator,Commercial,2008,17,Full Maintenance,False,True,False
EQ00122,APMEA,India,Elevator,Public / Transport,1997,28,Full Maintenance,True,False,True
EQ00123,Greater China,China,Elevator,Residential,2019,6,Full Maintenance,False,True,True
EQ00124,Greater China,China,Elevator,Industrial,1996,29,Full Maintenance,True,True,True
EQ00125,Greater China,China,Autowalk,Residential,2016,9,Full Maintenance,True,False,False
EQ00126,Europe,Poland,Escalator,Residential,2018,7,Full Maintenance,False,False,True
EQ00127,Americas,USA,Elevator,Public / Transport,2005,20,Basic Maintenance,False,False,False
EQ00128,APMEA,India,Elevator,Public / Transport,2019,6,Full Maintenance,False,False,False
EQ00129,Greater China,China,Elevator,Residential,2010,15,Basic Maintenance,False,False,True
EQ00130,Europe,Germany,Elevator,Commercial,2008,17,Full Maintenance,False,False,True
EQ00131,Europe,Poland,Elevator,Commercial,1996,29,Full Maintenance,False,False,True
EQ00132,Greater China,China,Elevator,Public / Transport,2003,22,Repair Only,True,False,False
EQ00133,Greater China,China,Elevator,Residential,2022,3,Full Maintenance,False,True,False
EQ00134,Greater China,China,Escalator,Residential,2006,19,Full Maintenance,False,True,True
EQ00135,APMEA,Australia,Elevator,Industrial,2011,14,Full Maintenance,False,True,True
EQ00136,Greater China,China,Elevator,Public / Transport,2010,15,Full Maintenance,False,False,True
EQ00137,Europe,Finland,Escalator,Residential,2012,13,Full Maintenance,False,True,True
EQ00138,Americas,Canada,Elevator,Public / Transport,1996,29,Full Maintenance,False,False,False
EQ00139,Greater China,China,Elevator,Public / Transport,2005,20,Full Maintenance,False,True,True
EQ00140,APMEA,South Korea,Elevator,Residential,2016,9,Repair Only,True,False,True
EQ00141,APMEA,South Korea,Elevator,Commercial,2001,24,Basic Maintenance,False,False,False
EQ00142,Greater China,China,Escalator,Public / Transport,2001,24,Full Maintenance,False,False,True
EQ00143,Europe,Germany,Elevator,Residential,1995,30,Full Maintenance,True,False,False
EQ00144,Greater China,China,Elevator,Healthcare,2008,17,Full Maintenance,True,True,True
EQ00145,Greater China,China,Elevator,Commercial,2021,4,Full Maintenance,False,False,False
EQ00146,Greater China,China,Elevator,Commercial,1996,29,Full Maintenance,False,True,True
EQ00147,Europe,Poland,Autowalk,Healthcare,2000,25,Basic Maintenance,False,False,False
EQ00148,Europe,Finland,Escalator,Residential,2004,21,Full Maintenance,True,False,True
EQ00149,Greater China,China,Elevator,Residential,2016,9,Basic Maintenance,False,True,False
EQ00150,Greater China,China,Elevator,Public / Transport,2014,11,Full Maintenance,False,False,True
EQ00151,APMEA,Australia,Elevator,Industrial,2007,18,Repair Only,True,False,False
EQ00152,Greater China,China,Autowalk,Residential,2017,8,Basic Maintenance,True,False,True
EQ00153,Greater China,China,Elevator,Commercial,2013,12,Basic Maintenance,False,False,False
EQ00154,Europe,Germany,Elevator,Public / Transport,2021,4,Full Maintenance,False,False,False
EQ00155,APMEA,Australia,Elevator,Public / Transport,2019,6,Repair Only,False,False,False
EQ00156,Greater China,China,Elevator,Commercial,2002,23,Basic Maintenance,False,False,False
EQ00157,Americas,Mexico,Elevator,Public / Transport,2003,22,Basic Maintenance,True,False,True
EQ00158,Americas,Mexico,Elevator,Public / Transport,1998,27,Full Maintenance,False,True,True
EQ00159,Greater China,China,Elevator,Residential,2005,20,Basic Maintenance,False,False,False
EQ00160,Americas,Brazil,Elevator,Industrial,2024,1,Full Maintenance,True,False,True
EQ00161,Greater China,China,Elevator,Residential,2007,18,Basic Maintenance,False,True,True
EQ00162,Europe,Sweden,Autowalk,Commercial,2001,24,Basic Maintenance,False,True,True
EQ00163,Europe,Poland,Elevator,Industrial,2017,8,Full Maintenance,True,True,True
EQ00164,Europe,Netherlands,Elevator,Public / Transport,2011,14,Full Maintenance,True,False,False
EQ00165,Greater China,China,Escalator,Industrial,1999,26,Full Maintenance,True,False,False
EQ00166,Americas,Mexico,Elevator,Residential,2006,19,Basic Maintenance,False,False,False
EQ00167,Greater China,China,Elevator,Commercial,2007,18,Full Maintenance,False,False,True
EQ00168,Greater China,China,Escalator,Commercial,2017,8,Full Maintenance,False,True,False
EQ00169,Greater China,China,Elevator,Residential,1995,30,Full Maintenance,False,True,False
EQ00170,Europe,Poland,Autowalk,Commercial,2003,22,Basic Maintenance,True,False,False
EQ00171,Americas,Mexico,Elevator,Residential,2010,15,Full Maintenance,False,False,False
EQ00172,Greater China,China,Elevator,Residential,2003,22,Basic Maintenance,False,True,False
EQ00173,Europe,France,Elevator,Public / Transport,2013,12,Full Maintenance,False,False,True
EQ00174,Greater China,China,Elevator,Residential,2009,16,Basic Maintenance,True,False,True
EQ00175,Europe,Germany,Escalator,Residential,2005,20,Repair Only,True,False,True
EQ00176,Greater China,China,Escalator,Residential,2023,2,Full Maintenance,False,False,False
EQ00177,Americas,Brazil,Escalator,Commercial,2013,12,Full Maintenance,False,False,False
EQ00178,Greater China,China,Automatic Door,Commercial,1998,27,Basic Maintenance,False,True,False
EQ00179,APMEA,UAE,Escalator,Commercial,2011,14,Full Maintenance,False,True,False
EQ00180,Greater China,China,Elevator,Public / Transport,2018,7,Full Maintenance,False,False,False
EQ00181,Greater China,China,Elevator,Commercial,2016,9,Basic Maintenance,False,False,False
EQ00182,Greater China,China,Elevator,Industrial,2000,25,Repair Only,False,False,False
EQ00183,APMEA,India,Elevator,Healthcare,2024,1,Basic Maintenance,False,True,True
EQ00184,APMEA,South Korea,Escalator,Public / Transport,2008,17,Full Maintenance,False,False,True
EQ00185,Greater China,China,Elevator,Commercial,1999,26,Full Maintenance,True,True,True
EQ00186,Americas,Mexico,Elevator,Healthcare,2000,25,Full Maintenance,False,True,False
EQ00187,Americas,Canada,Elevator,Commercial,1997,28,Basic Maintenance,True,True,False
EQ00188,Europe,Netherlands,Elevator,Residential,2019,6,Basic Maintenance,True,False,False
EQ00189,Europe,Poland,Elevator,Public / Transport,1998,27,Repair Only,False,True,False
EQ00190,Greater China,China,Elevator,Residential,1998,27,Full Maintenance,False,True,True
EQ00191,Greater China,China,Elevator,Residential,2020,5,Basic Maintenance,True,False,True
EQ00192,APMEA,Saudi Arabia,Elevator,Commercial,2005,20,Full Maintenance,False,False,False
EQ00193,APMEA,South Korea,Escalator,Residential,1995,30,Full Maintenance,False,False,False
EQ00194,Europe,Poland,Elevator,Residential,1996,29,Basic Maintenance,False,False,True
EQ00195,Greater China,China,Elevator,Residential,1999,26,Full Maintenance,False,False,False
EQ00196,Greater China,China,Elevator,Healthcare,2001,24,Basic Maintenance,False,True,True
EQ00197,Americas,Mexico,Elevator,Healthcare,2014,11,Basic Maintenance,False,True,False
EQ00198,APMEA,Saudi Arabia,Elevator,Public / Transport,1999,26,Repair Only,False,False,False
EQ00199,APMEA,UAE,Elevator,Residential,1998,27,Basic Maintenance,False,True,True
EQ00200,Americas,USA,Elevator,Industrial,2017,8,Basic Maintenance,True,False,False
EQ00201,Europe,Finland,Elevator,Healthcare,2015,10,Full Maintenance,False,False,False
EQ00202,Greater China,China,Elevator,Public / Transport,2008,17,Full Maintenance,True,False,False
EQ00203,Greater China,China,Elevator,Residential,2011,14,Full Maintenance,False,False,False
EQ00204,APMEA,Australia,Escalator,Commercial,2004,21,Full Maintenance,True,False,True
EQ00205,Europe,Netherlands,Elevator,Commercial,2009,16,Basic Maintenance,False,True,False
EQ00206,Greater China,China,Automatic Door,Residential,2010,15,Basic Maintenance,False,False,False
EQ00207,Greater China,China,Elevator,Residential,2006,19,Full Maintenance,True,True,False
EQ00208,Americas,Canada,Elevator,Public / Transport,2022,3,Full Maintenance,False,False,True
EQ00209,Greater China,China,Escalator,Commercial,1995,30,Full Maintenance,True,False,False
EQ00210,Greater China,China,Escalator,Commercial,2018,7,Basic Maintenance,False,True,False
EQ00211,Europe,Finland,Elevator,Residential,1998,27,Basic Maintenance,False,False,False
EQ00212,Americas,Brazil,Elevator,Residential,2018,7,Basic Maintenance,False,True,True
EQ00213,Americas,Canada,Elevator,Commercial,2013,12,Full Maintenance,False,True,True
EQ00214,Greater China,China,Elevator,Industrial,2020,5,Full Maintenance,True,False,True
EQ00215,Americas,USA,Elevator,Residential,1997,28,Basic Maintenance,False,True,False
EQ00216,Greater China,China,Elevator,Industrial,2011,14,Basic Maintenance,False,True,False
EQ00217,Greater China,China,Elevator,Residential,2010,15,Full Maintenance,False,False,False
EQ00218,Americas,Mexico,Elevator,Residential,2016,9,Basic Maintenance,False,False,False
EQ00219,Europe,Poland,Escalator,Residential,2011,14,Full Maintenance,False,True,False
EQ00220,APMEA,UAE,Autowalk,Public / Transport,2011,14,Basic Maintenance,False,False,True
EQ00221,Americas,Mexico,Autowalk,Commercial,2007,18,Basic Maintenance,True,False,True
EQ00222,Europe,Netherlands,Elevator,Public / Transport,2004,21,Basic Maintenance,False,True,False
EQ00223,Greater China,China,Escalator,Residential,2009,16,Full Maintenance,True,True,False
EQ00224,Greater China,China,Autowalk,Public / Transport,1998,27,Full Maintenance,False,False,False
EQ00225,Greater China,China,Elevator,Public / Transport,2023,2,Basic Maintenance,True,False,False
EQ00226,Greater China,China,Elevator,Residential,2016,9,Basic Maintenance,False,False,False
EQ00227,APMEA,India,Autowalk,Industrial,2023,2,Basic Maintenance,True,True,True
EQ00228,Greater China,China,Elevator,Commercial,2001,24,Basic Maintenance,False,False,False
EQ00229,APMEA,Australia,Elevator,Public / Transport,2021,4,Full Maintenance,False,False,False
EQ00230,Europe,Netherlands,Elevator,Residential,2019,6,Repair Only,False,True,False
EQ00231,Americas,Brazil,Elevator,Residential,2015,10,Basic Maintenance,False,True,True
EQ00232,Europe,Poland,Escalator,Industrial,2013,12,Full Maintenance,False,False,False
EQ00233,Europe,Netherlands,Elevator,Public / Transport,2004,21,Basic Maintenance,False,False,True
EQ00234,Europe,Finland,Elevator,Commercial,2019,6,Full Maintenance,False,False,True
EQ00235,Greater China,China,Elevator,Industrial,2010,15,Full Maintenance,False,False,False
EQ00236,Americas,Brazil,Elevator,Residential,1997,28,Full Maintenance,False,False,True
EQ00237,Greater China,China,Elevator,Residential,2004,21,Basic Maintenance,False,False,False
EQ00238,Greater China,China,Elevator,Industrial,2023,2,Repair Only,True,True,False
EQ00239,Europe,Germany,Autowalk,Residential,2020,5,Basic Maintenance,False,True,False
EQ00240,Greater China,China,Elevator,Residential,2024,1,Full Maintenance,True,False,False
EQ00241,APMEA,UAE,Elevator,Public / Transport,2013,12,Full Maintenance,False,False,True
EQ00242,APMEA,UAE,Escalator,Commercial,2002,23,Full Maintenance,False,False,False
EQ00243,APMEA,South Korea,Elevator,Industrial,1999,26,Full Maintenance,False,False,False
EQ00244,Greater China,China,Escalator,Commercial,2000,25,Basic Maintenance,True,False,False
EQ00245,Greater China,China,Escalator,Commercial,1995,30,Repair Only,True,True,False
EQ00246,APMEA,UAE,Escalator,Commercial,2006,19,Full Maintenance,False,False,False
EQ00247,Europe,France,Elevator,Residential,2000,25,Basic Maintenance,False,False,True
EQ00248,APMEA,Saudi Arabia,Elevator,Industrial,2007,18,Repair Only,False,True,True
EQ00249,APMEA,Australia,Elevator,Commercial,2023,2,Full Maintenance,False,True,True
EQ00250,APMEA,Saudi Arabia,Elevator,Commercial,2007,18,Basic Maintenance,False,False,False
EQ00251,Greater China,China,Escalator,Healthcare,2021,4,Basic Maintenance,True,False,False
EQ00252,Greater China,China,Escalator,Commercial,2013,12,Basic Maintenance,False,True,False
EQ00253,APMEA,Saudi Arabia,Escalator,Public / Transport,2002,23,Full Maintenance,True,True,False
EQ00254,Greater China,China,Autowalk,Commercial,2005,20,Basic Maintenance,False,False,False
EQ00255,Greater China,China,Escalator,Industrial,1997,28,Basic Maintenance,True,False,True
EQ00256,Europe,Finland,Elevator,Residential,2005,20,Full Maintenance,False,False,True
EQ00257,APMEA,Saudi Arabia,Elevator,Public / Transport,2015,10,Full Maintenance,True,False,False
EQ00258,Americas,USA,Escalator,Industrial,1997,28,Full Maintenance,False,False,True
EQ00259,Europe,Sweden,Elevator,Residential,2001,24,Repair Only,True,True,False
EQ00260,Greater China,China,Elevator,Commercial,2006,19,Full Maintenance,False,False,True
EQ00261,Europe,Finland,Elevator,Industrial,2024,1,Basic Maintenance,False,True,True
EQ00262,APMEA,Australia,Escalator,Residential,2018,7,Full Maintenance,True,False,False
EQ00263,Greater China,China,Elevator,Commercial,2017,8,Full Maintenance,False,True,True
EQ00264,Europe,Germany,Escalator,Commercial,1998,27,Full Maintenance,False,False,False
EQ00265,APMEA,Saudi Arabia,Escalator,Public / Transport,2018,7,Full Maintenance,True,True,True
EQ00266,Americas,Mexico,Elevator,Commercial,2018,7,Full Maintenance,True,False,False
EQ00267,Americas,Canada,Elevator,Residential,2013,12,Basic Maintenance,False,True,False
EQ00268,Americas,Mexico,Elevator,Residential,2024,1,Full Maintenance,True,True,False
EQ00269,Greater China,China,Escalator,Public / Transport,2004,21,Full Maintenance,True,True,False
EQ00270,Greater China,China,Escalator,Healthcare,2023,2,Full Maintenance,True,False,True
EQ00271,Americas,Canada,Autowalk,Healthcare,2022,3,Basic Maintenance,False,False,True
EQ00272,Americas,Brazil,Elevator,Commercial,1995,30,Basic Maintenance,False,False,True
EQ00273,APMEA,UAE,Elevator,Public / Transport,2008,17,Basic Maintenance,True,False,False
EQ00274,APMEA,South Korea,Elevator,Commercial,2024,1,Repair Only,False,False,False
EQ00275,Europe,France,Escalator,Residential,1998,27,Full Maintenance,False,False,True
EQ00276,Europe,France,Elevator,Residential,2011,14,Full Maintenance,True,False,False
EQ00277,Americas,Canada,Elevator,Commercial,2024,1,Full Maintenance,True,False,True
EQ00278,Europe,France,Elevator,Healthcare,2011,14,Full Maintenance,False,True,True
EQ00279,Americas,Mexico,Elevator,Commercial,2000,25,Basic Maintenance,False,False,False
EQ00280,Americas,Canada,Elevator,Industrial,2012,13,Full Maintenance,False,True,True
EQ00281,APMEA,India,Elevator,Public / Transport,2001,24,Full Maintenance,False,False,False
EQ00282,Greater China,China,Elevator,Public / Transport,2010,15,Full Maintenance,False,True,False
EQ00283,Greater China,China,Elevator,Commercial,1997,28,Repair Only,True,False,False
EQ00284,Greater China,China,Escalator,Residential,2013,12,Repair Only,False,True,False
EQ00285,Europe,Netherlands,Escalator,Public / Transport,2010,15,Full Maintenance,False,False,False
EQ00286,Greater China,China,Elevator,Residential,2017,8,Full Maintenance,False,False,False
EQ00287,Europe,Finland,Escalator,Residential,2013,12,Basic Maintenance,False,True,True
EQ00288,Europe,Sweden,Elevator,Commercial,2011,14,Repair Only,True,True,False
EQ00289,Greater China,China,Elevator,Residential,2015,10,Full Maintenance,False,False,True
EQ00290,Europe,Netherlands,Autowalk,Public / Transport,1999,26,Full Maintenance,False,False,True
EQ00291,Greater China,China,Escalator,Residential,2012,13,Repair Only,False,False,False
EQ00292,Greater China,China,Escalator,Residential,2000,25,Basic Maintenance,True,True,False
EQ00293,Americas,Mexico,Elevator,Residential,2022,3,Full Maintenance,False,False,True
EQ00294,Greater China,China,Elevator,Residential,1997,28,Basic Maintenance,True,False,True
EQ00295,Greater China,China,Autowalk,Commercial,2007,18,Repair Only,True,True,True
EQ00296,Europe,France,Elevator,Commercial,2015,10,Basic Maintenance,True,True,True
EQ00297,Americas,USA,Elevator,Residential,2008,17,Basic Maintenance,False,False,False
EQ00298,Greater China,China,Escalator,Residential,1997,28,Basic Maintenance,True,False,True
EQ00299,Europe,Netherlands,Escalator,Residential,2011,14,Full Maintenance,False,True,False
EQ00300,Greater China,China,Autowalk,Residential,2014,11,Basic Maintenance,True,False,False
EQ00301,Greater China,China,Elevator,Residential,2016,9,Full Maintenance,True,True,False
EQ00302,Europe,Poland,Autowalk,Commercial,2006,19,Repair Only,False,False,False
EQ00303,Europe,Poland,Elevator,Healthcare,2011,14,Full Maintenance,True,False,True
EQ00304,Europe,Poland,Elevator,Residential,2008,17,Repair Only,False,True,True
EQ00305,Americas,Canada,Elevator,Commercial,2015,10,Full Maintenance,False,False,False
EQ00306,APMEA,UAE,Elevator,Commercial,2012,13,Full Maintenance,False,False,True
EQ00307,Europe,Finland,Elevator,Healthcare,2010,15,Full Maintenance,False,False,False
EQ00308,Greater China,China,Escalator,Commercial,2002,23,Basic Maintenance,False,True,True
EQ00309,Americas,Mexico,Elevator,Public / Transport,1995,30,Basic Maintenance,False,True,True
EQ00310,Greater China,China,Elevator,Commercial,2000,25,Basic Maintenance,True,False,True
EQ00311,Europe,France,Elevator,Healthcare,1998,27,Full Maintenance,False,True,True
EQ00312,Greater China,China,Elevator,Public / Transport,2008,17,Full Maintenance,False,False,False
EQ00313,Greater China,China,Elevator,Residential,2013,12,Repair Only,True,True,True
EQ00314,APMEA,India,Escalator,Commercial,2001,24,Basic Maintenance,True,False,False
EQ00315,Americas,Brazil,Escalator,Commercial,2023,2,Basic Maintenance,True,True,False
EQ00316,Americas,USA,Elevator,Residential,1995,30,Basic Maintenance,False,False,False
EQ00317,Europe,Sweden,Escalator,Residential,2018,7,Basic Maintenance,False,False,False
EQ00318,Greater China,China,Elevator,Commercial,2013,12,Full Maintenance,False,True,False
EQ00319,Greater China,China,Elevator,Commercial,2006,19,Basic Maintenance,False,False,True
EQ00320,Greater China,China,Escalator,Residential,1996,29,Basic Maintenance,False,False,False
