contract_id,equipment_id,region,country,contract_type,contract_start,contract_end,status,annual_value_eur
CON000187,EQ00067,Greater China,China,Full Maintenance,2023-04-01,2024-04-01,Renewed,3645.0
CON000188,EQ00067,Greater China,China,Full Maintenance,2024-04-01,2025-04-01,Renewed,3645.0
CON000189,EQ00067,Greater China,China,Full Maintenance,2025-04-01,2026-04-01,Renewed,3645.0
CON000190,EQ00068,Americas,Mexico,Basic Maintenance,2021-01-01,2022-01-01,Renewed,2921.0
CON000191,EQ00068,Americas,Mexico,Basic Maintenance,2022-01-01,2023-01-01,Renewed,2921.0
CON000192,EQ00068,Americas,Mexico,Basic Maintenance,2023-01-01,2024-01-01,Renewed,2921.0
CON000193,EQ00069,Greater China,China,Basic Maintenance,2022-01-01,2023-01-01,Renewed,2678.0
CON000194,EQ00069,Greater China,China,Basic Maintenance,2023-01-01,2024-01-01,Renewed,2678.0
CON000195,EQ00069,Greater China,China,Basic Maintenance,2024-01-01,2025-01-01,Renewed,2678.0
CON000196,EQ00070,APMEA,India,Full Maintenance,2023-05-01,2024-05-01,Renewed,4209.0
CON000197,EQ00070,APMEA,India,Full Maintenance,2024-05-01,2025-05-01,Renewed,4209.0
CON000198,EQ00070,APMEA,India,Full Maintenance,2025-05-01,2026-05-01,Renewed,4209.0
CON000199,EQ00071,Americas,USA,Full Maintenance,2022-07-01,2023-07-01,Renewed,5687.0
CON000200,EQ00071,Americas,USA,Full Maintenance,2023-07-01,2024-07-01,Renewed,5687.0
CON000201,EQ00071,Americas,USA,Full Maintenance,2024-07-01,2025-07-01,Cancelled,5687.0
CON000202,EQ00072,Greater China,China,Basic Maintenance,2022-05-01,2023-05-01,Renewed,2568.0
CON000203,EQ00072,Greater China,China,Basic Maintenance,2023-05-01,2024-05-01,Renewed,2568.0
CON000204,EQ00072,Greater China,China,Basic Maintenance,2024-05-01,2025-05-01,Renewed,2568.0
CON000205,EQ00073,Greater China,China,Basic Maintenance,2023-08-01,2024-08-01,Renewed,2059.0
CON000206,EQ00073,Greater China,China,Basic Maintenance,2024-08-01,2025-08-01,Renewed,2059.0
CON000207,EQ00073,Greater China,China,Basic Maintenance,2025-08-01,2026-08-01,Active,2059.0
CON000208,EQ00074,Americas,Canada,Full Maintenance,2020-04-01,2021-04-01,Renewed,4241.0
CON000209,EQ00074,Americas,Canada,Full Maintenance,2021-04-01,2022-04-01,Renewed,4241.0
CON000210,EQ00074,Americas,Canada,Full Maintenance,2022-04-01,2023-04-01,Renewed,4241.0
CON000211,EQ00075,Americas,USA,Full Maintenance,2020-04-01,2021-04-01,Renewed,3007.0
CON000212,EQ00075,Americas,USA,Full Maintenance,2021-04-01,2022-04-01,Renewed,3007.0
CON000213,EQ00075,Americas,USA,Full Maintenance,2022-04-01,2023-04-01,Renewed,3007.0
CON000214,EQ00076,Americas,Canada,Basic Maintenance,2023-05-01,2024-05-01,Renewed,2941.0
CON000215,EQ00076,Americas,Canada,Basic Maintenance,2024-05-01,2025-05-01,Renewed,2941.0
CON000216,EQ00076,Americas,Canada,Basic Maintenance,2025-05-01,2026-05-01,Renewed,2941.0
CON000217,EQ00077,Americas,USA,Full Maintenance,2020-07-01,2021-07-01,Renewed,4335.0
CON000218,EQ00077,Americas,USA,Full Maintenance,2021-07-01,2022-07-01,Renewed,4335.0
CON000219,EQ00077,Americas,USA,Full Maintenance,2022-07-01,2023-07-01,Renewed,4335.0
CON000220,EQ00078,Greater China,China,Full Maintenance,2020-08-01,2021-08-01,Renewed,4598.0
CON000221,EQ00078,Greater China,China,Full Maintenance,2021-08-01,2022-08-01,Renewed,4598.0
CON000222,EQ00078,Greater China,China,Full Maintenance,2022-08-01,2023-08-01,Renewed,4598.0
CON000223,EQ00079,Greater China,China,Full Maintenance,2021-02-01,2022-02-01,Renewed,6243.0
CON000224,EQ00079,Greater China,China,Full Maintenance,2022-02-01,2023-02-01,Renewed,6243.0
CON000225,EQ00079,Greater China,China,Full Maintenance,2023-02-01,2024-02-01,Renewed,6243.0
CON000226,EQ00080,Greater China,China,Full Maintenance,2022-09-01,2023-09-01,Renewed,6389.0
CON000227,EQ00080,Greater China,China,Full Maintenance,2023-09-01,2024-09-01,Renewed,6389.0
CON000228,EQ00080,Greater China,China,Full Maintenance,2024-09-01,2025-09-01,Renewed,6389.0
CON000229,EQ00081,APMEA,UAE,Full Maintenance,2021-08-01,2022-08-01,Renewed,5457.0
CON000230,EQ00081,APMEA,UAE,Full Maintenance,2022-08-01,2023-08-01,Cancelled,5457.0
CON000231,EQ00083,Greater China,China,Basic Maintenance,2020-10-01,2021-10-01,Renewed,2029.0
CON000232,EQ00083,Greater China,China,Basic Maintenance,2021-10-01,2022-10-01,Renewed,2029.0
CON000233,EQ00083,Greater China,China,Basic Maintenance,2022-10-01,2023-10-01,Renewed,2029.0
CON000234,EQ00084,Greater China,China,Full Maintenance,2021-07-01,2022-07-01,Renewed,5422.0
CON000235,EQ00084,Greater China,China,Full Maintenance,2022-07-01,2023-07-01,Renewed,5422.0
CON000236,EQ00084,Greater China,China,Full Maintenance,2023-07-01,2024-07-01,Renewed,5422.0
CON000237,EQ00085,Greater China,China,Full Maintenance,2022-06-01,2023-06-01,Renewed,4109.0
CON000238,EQ00085,Greater China,China,Full Maintenance,2023-06-01,2024-06-01,Renewed,4109.0
CON000239,EQ00085,Greater China,China,Full Maintenance,2024-06-01,2025-06-01,Renewed,4109.0
CON000240,EQ00086,Greater China,China,Full Maintenance,2023-03-01,2024-03-01,Renewed,4122.0
CON000241,EQ00086,Greater China,China,Full Maintenance,2024-03-01,2025-03-01,Renewed,4122.0
CON000242,EQ00086,Greater China,China,Full Maintenance,2025-03-01,2026-03-01,Renewed,4122.0
CON000243,EQ00087,Americas,USA,Full Maintenance,2020-06-01,2021-06-01,Renewed,3846.0
CON000244,EQ00087,Americas,USA,Full Maintenance,2021-06-01,2022-06-01,Renewed,3846.0
CON000245,EQ00087,Americas,USA,Full Maintenance,2022-06-01,2023-06-01,Renewed,3846.0
CON000246,EQ00089,APMEA,UAE,Full Maintenance,2021-04-01,2022-04-01,Renewed,4992.0
CON000247,EQ00089,APMEA,UAE,Full Maintenance,2022-04-01,2023-04-01,Renewed,4992.0
CON000248,EQ00089,APMEA,UAE,Full Maintenance,2023-04-01,2024-04-01,Renewed,4992.0
CON000249,EQ00091,Greater China,China,Full Maintenance,2023-08-01,2024-08-01,Renewed,5957.0
CON000250,EQ00091,Greater China,China,Full Maintenance,2024-08-01,2025-08-01,Renewed,5957.0
CON000251,EQ00091,Greater China,China,Full Maintenance,2025-08-01,2026-08-01,Active,5957.0
CON000252,EQ00092,Americas,USA,Basic Maintenance,2023-07-01,2024-07-01,Renewed,2859.0
CON000253,EQ00092,Americas,USA,Basic Maintenance,2024-07-01,2025-07-01,Renewed,2859.0
CON000254,EQ00092,Americas,USA,Basic Maintenance,2025-07-01,2026-07-01,Active,2859.0
CON000255,EQ00093,Americas,USA,Full Maintenance,2021-01-01,2022-01-01,Renewed,3964.0
CON000256,EQ00093,Americas,USA,Full Maintenance,2022-01-01,2023-01-01,Renewed,3964.0
CON000257,EQ00093,Americas,USA,Full Maintenance,2023-01-01,2024-01-01,Cancelled,3964.0
CON000258,EQ00094,Europe,Netherlands,Full Maintenance,2020-07-01,2021-07-01,Renewed,5130.0
CON000259,EQ00094,Europe,Netherlands,Full Maintenance,2021-07-01,2022-07-01,Renewed,5130.0
CON000260,EQ00094,Europe,Netherlands,Full Maintenance,2022-07-01,2023-07-01,Renewed,5130.0
CON000261,EQ00095,Americas,USA,Full Maintenance,2022-05-01,2023-05-01,Renewed,4016.0
CON000262,EQ00095,Americas,USA,Full Maintenance,2023-05-01,2024-05-01,Renewed,4016.0
CON000263,EQ00095,Americas,USA,Full Maintenance,2024-05-01,2025-05-01,Renewed,4016.0
CON000264,EQ00096,Europe,Sweden,Basic Maintenance,2022-03-01,2023-03-01,Renewed,1620.0
CON000265,EQ00096,Europe,Sweden,Basic Maintenance,2023-03-01,2024-03-01,Renewed,1620.0
CON000266,EQ00096,Europe,Sweden,Basic Maintenance,2024-03-01,2025-03-01,Renewed,1620.0
CON000267,EQ00097,Europe,Finland,Basic Maintenance,2022-03-01,2023-03-01,Renewed,2083.0
CON000268,EQ00097,Europe,Finland,Basic Maintenance,2023-03-01,2024-03-01,Renewed,2083.0
CON000269,EQ00097,Europe,Finland,Basic Maintenance,2024-03-01,2025-03-01,Renewed,2083.0
CON000270,EQ00098,Europe,Finland,Basic Maintenance,2021-05-01,2022-05-01,Renewed,2946.0
CON000271,EQ00098,Europe,Finland,Basic Maintenance,2022-05-01,2023-05-01,Renewed,2946.0
CON000272,EQ00098,Europe,Finland,Basic Maintenance,2023-05-01,2024-05-01,Renewed,2946.0
