call_id,equipment_id,region,country,call_date,year,month,call_type,resolution_hours,first_time_fix,technician_id
C0000147,EQ00014,Greater China,China,2025-11-12,2025,11,Planned Maintenance,4.26,True,T0098
C0000148,EQ00014,Greater China,China,2025-12-22,2025,12,Breakdown,0.78,False,T0076
C0000149,EQ00015,Greater China,China,2023-02-16,2023,2,Planned Maintenance,0.98,True,T0042
C0000150,EQ00015,Greater China,China,2023-09-27,2023,9,Planned Maintenance,2.84,True,T0147
C0000151,EQ00015,Greater China,China,2024-03-24,2024,3,Planned Maintenance,1.53,True,T0164
C0000152,EQ00015,Greater China,China,2024-08-10,2024,8,Planned Maintenance,0.5,True,T0072
C0000153,EQ00015,Greater China,China,2025-03-06,2025,3,Planned Maintenance,0.56,True,T0108
C0000154,EQ00015,Greater China,China,2025-07-02,2025,7,Planned Maintenance,4.95,True,T0145
C0000155,EQ00016,Greater China,China,2023-02-27,2023,2,Planned Maintenance,0.5,True,T0136
C0000156,EQ00016,Greater China,China,2023-06-19,2023,6,Planned Maintenance,9.52,True,T0120
C0000157,EQ00016,Greater China,China,2023-08-12,2023,8,Planned Maintenance,0.56,True,T0082
C0000158,EQ00016,Greater China,China,2023-12-22,2023,12,Planned Maintenance,1.9,True,T0055
C0000159,EQ00016,Greater China,China,2024-01-08,2024,1,Planned Maintenance,5.56,True,T0129
C0000160,EQ00016,Greater China,China,2024-04-25,2024,4,Planned Maintenance,1.74,True,T0110
C0000161,EQ00016,Greater China,China,2024-08-19,2024,8,Planned Maintenance,0.91,True,T0176
C0000162,EQ00016,Greater China,China,2024-12-08,2024,12,Planned Maintenance,1.66,False,T0019
C0000163,EQ00016,Greater China,China,2025-02-14,2025,2,Planned Maintenance,7.59,True,T0035
C0000164,EQ00016,Greater China,China,2025-06-02,2025,6,Planned Maintenance,7.71,True,T0181
C0000165,EQ00016,Greater China,China,2025-08-15,2025,8,Planned Maintenance,3.35,False,T0034
C0000166,EQ00016,Greater China,China,2025-11-01,2025,11,Planned Maintenance,19.57,True,T0016
C0000167,EQ00016,Greater China,China,2025-03-30,2025,3,Breakdown,0.75,True,T0164
C0000168,EQ00016,Greater China,China,2025-11-04,2025,11,Breakdown,3.27,True,T0131
C0000169,EQ00017,Greater China,China,2023-02-13,2023,2,Planned Maintenance,0.96,True,T0058
C0000170,EQ00017,Greater China,China,2023-05-25,2023,5,Planned Maintenance,3.29,True,T0184
C0000171,EQ00017,Greater China,China,2023-09-12,2023,9,Planned Maintenance,2.29,True,T0162
C0000172,EQ00017,Greater China,China,2023-11-24,2023,11,Planned Maintenance,1.79,True,T0005
C0000173,EQ00017,Greater China,China,2024-01-18,2024,1,Planned Maintenance,1.04,True,T0049
C0000174,EQ00017,Greater China,China,2024-04-18,2024,4,Planned Maintenance,1.0,True,T0082
C0000175,EQ00017,Greater China,China,2024-08-20,2024,8,Planned Maintenance,3.65,True,T0074
C0000176,EQ00017,Greater China,China,2024-12-17,2024,12,Planned Maintenance,2.63,False,T0095
C0000177,EQ00017,Greater China,China,2025-01-27,2025,1,Planned Maintenance,0.54,True,T0190
C0000178,EQ00017,Greater China,China,2025-04-08,2025,4,Planned Maintenance,0.5,True,T0057
C0000179,EQ00017,Greater China,China,2025-09-09,2025,9,Planned Maintenance,0.57,True,T0096
C0000180,EQ00017,Greater China,China,2025-11-11,2025,11,Planned Maintenance,0.5,True,T0133
C0000181,EQ00018,Europe,Poland,2023-01-27,2023,1,Planned Maintenance,2.76,True,T0018
C0000182,EQ00018,Europe,Poland,2023-06-06,2023,6,Planned Maintenance,1.69,True,T0117
C0000183,EQ00018,Europe,Poland,2023-09-26,2023,9,Planned Maintenance,0.5,False,T0118
C0000184,EQ00018,Europe,Poland,2023-12-20,2023,12,Planned Maintenance,3.59,True,T0005
C0000185,EQ00018,Europe,Poland,2024-03-09,2024,3,Planned Maintenance,3.29,True,T0100
C0000186,EQ00018,Europe,Poland,2024-06-24,2024,6,Planned Maintenance,9.2,True,T0116
C0000187,EQ00018,Europe,Poland,2024-09-03,2024,9,Planned Maintenance,0.5,True,T0010
C0000188,EQ00018,Europe,Poland,2024-11-18,2024,11,Planned Maintenance,0.5,True,T0200
C0000189,EQ00018,Europe,Poland,2025-02-09,2025,2,Planned Maintenance,3.84,True,T0133
C0000190,EQ00018,Europe,Poland,2025-04-22,2025,4,Planned Maintenance,2.11,True,T0155
C0000191,EQ00018,Europe,Poland,2025-07-22,2025,7,Planned Maintenance,4.11,True,T0044
C0000192,EQ00018,Europe,Poland,2025-10-26,2025,10,Planned Maintenance,0.5,True,T0132
C0000193,EQ00019,Europe,Germany,2023-01-22,2023,1,Planned Maintenance,5.89,False,T0163
C0000194,EQ00019,Europe,Germany,2023-04-08,2023,4,Planned Maintenance,0.5,True,T0058
C0000195,EQ00019,Europe,Germany,2023-07-12,2023,7,Planned Maintenance,4.69,True,T0063
C0000196,EQ00019,Europe,Germany,2023-12-13,2023,12,Planned Maintenance,3.5,True,T0067
C0000197,EQ00019,Europe,Germany,2024-03-03,2024,3,Planned Maintenance,6.21,True,T0091
C0000198,EQ00019,Europe,Germany,2024-05-20,2024,5,Planned Maintenance,0.5,True,T0198
C0000199,EQ00019,Europe,Germany,2024-08-05,2024,8,Planned Maintenance,16.02,True,T0112
C0000200,EQ00019,Europe,Germany,2024-10-12,2024,10,Planned Maintenance,10.61,True,T0058
C0000201,EQ00019,Europe,Germany,2025-01-23,2025,1,Planned Maintenance,0.5,True,T0130
C0000202,EQ00019,Europe,Germany,2025-05-10,2025,5,Planned Maintenance,1.34,True,T0038
C0000203,EQ00019,Europe,Germany,2025-07-27,2025,7,Planned Maintenance,0.5,True,T0117
C0000204,EQ00019,Europe,Germany,2025-11-02,2025,11,Planned Maintenance,3.86,True,T0124
C0000205,EQ00020,Greater China,China,2023-02-07,2023,2,Planned Maintenance,5.72,True,T0089
C0000206,EQ00020,Greater China,China,2023-05-18,2023,5,Planned Maintenance,0.95,True,T0025
C0000207,EQ00020,Greater China,China,2023-08-06,2023,8,Planned Maintenance,8.79,True,T0082
C0000208,EQ00020,Greater China,China,2023-11-03,2023,11,Planned Maintenance,8.33,True,T0065
C0000209,EQ00020,Greater China,China,2024-01-21,2024,1,Planned Maintenance,2.47,True,T0148
C0000210,EQ00020,Greater China,China,2024-04-10,2024,4,Planned Maintenance,4.35,True,T0065
C0000211,EQ00020,Greater China,China,2024-07-27,2024,7,Planned Maintenance,0.5,True,T0029
C0000212,EQ00020,Greater China,China,2024-12-26,2024,12,Planned Maintenance,2.25,True,T0160
C0000213,EQ00020,Greater China,China,2024-02-01,2024,2,Breakdown,1.7,False,T0191
C0000214,EQ00020,Greater China,China,2025-02-20,2025,2,Planned Maintenance,2.94,False,T0102
C0000215,EQ00020,Greater China,China,2025-06-17,2025,6,Planned Maintenance,3.59,False,T0012
C0000216,EQ00020,Greater China,China,2025-08-25,2025,8,Planned Maintenance,0.6,True,T0031
C0000217,EQ00020,Greater China,China,2025-12-08,2025,12,Planned Maintenance,0.58,True,T0001
C0000218,EQ00021,Europe,Finland,2023-02-15,2023,2,Planned Maintenance,9.12,True,T0195
C0000219,EQ00021,Europe,Finland,2023-05-26,2023,5,Planned Maintenance,0.68,True,T0067
C0000220,EQ00021,Europe,Finland,2023-07-25,2023,7,Planned Maintenance,4.25,True,T0066
C0000221,EQ00021,Europe,Finland,2023-10-10,2023,10,Planned Maintenance,1.14,True,T0189
C0000222,EQ00021,Europe,Finland,2023-10-16,2023,10,Breakdown,2.38,True,T0175
C0000223,EQ00021,Europe,Finland,2024-01-03,2024,1,Planned Maintenance,4.93,True,T0151
C0000224,EQ00021,Europe,Finland,2024-05-24,2024,5,Planned Maintenance,2.1,True,T0128
C0000225,EQ00021,Europe,Finland,2024-08-01,2024,8,Planned Maintenance,0.5,True,T0081
C0000226,EQ00021,Europe,Finland,2024-10-22,2024,10,Planned Maintenance,15.14,True,T0176
C0000227,EQ00021,Europe,Finland,2025-02-13,2025,2,Planned Maintenance,0.5,True,T0013
C0000228,EQ00021,Europe,Finland,2025-06-12,2025,6,Planned Maintenance,6.45,True,T0019
C0000229,EQ00021,Europe,Finland,2025-08-04,2025,8,Planned Maintenance,5.12,True,T0027
C0000230,EQ00021,Europe,Finland,2025-10-21,2025,10,Planned Maintenance,0.5,True,T0106
C0000231,EQ00022,Greater China,China,2023-01-17,2023,1,Planned Maintenance,4.42,False,T0121
C0000232,EQ00022,Greater China,China,2023-06-18,2023,6,Planned Maintenance,1.45,True,T0123
C0000233,EQ00022,Greater China,China,2023-07-17,2023,7,Planned Maintenance,1.96,True,T0053
C0000234,EQ00022,Greater China,China,2023-11-12,2023,11,Planned Maintenance,0.5,True,T0148
C0000235,EQ00022,Greater China,China,2024-02-14,2024,2,Planned Maintenance,2.2,True,T0104
C0000236,EQ00022,Greater China,China,2024-05-19,2024,5,Planned Maintenance,0.5,True,T0181
C0000237,EQ00022,Greater China,China,2024-09-02,2024,9,Planned Maintenance,1.03,True,T0091
C0000238,EQ00022,Greater China,China,2024-11-02,2024,11,Planned Maintenance,1.08,True,T0106
C0000239,EQ00022,Greater China,China,2024-08-12,2024,8,Emergency,1.67,True,T0012
C0000240,EQ00022,Greater China,China,2025-02-17,2025,2,Planned Maintenance,0.5,True,T0069
C0000241,EQ00022,Greater China,China,2025-06-13,2025,6,Planned Maintenance,2.23,True,T0196
C0000242,EQ00022,Greater China,China,2025-07-09,2025,7,Planned Maintenance,5.95,True,T0112
C0000243,EQ00022,Greater China,China,2025-11-23,2025,11,Planned Maintenance,0.5,True,T0118
C0000244,EQ00022,Greater China,China,2025-03-26,2025,3,Breakdown,1.01,True,T0026
C0000245,EQ00023,Greater China,China,2023-03-06,2023,3,Planned Maintenance,0.8,True,T0111
C0000246,EQ00023,Greater China,China,2023-04-12,2023,4,Planned Maintenance,6.9,True,T0130
C0000247,EQ00023,Greater China,China,2023-08-02,2023,8,Planned Maintenance,6.86,True,T0011
C0000248,EQ00023,Greater China,China,2023-10-24,2023,10,Planned Maintenance,7.37,True,T0086
C0000249,EQ00023,Greater China,China,2023-11-08,2023,11,Emergency,6.03,True,T0180
C0000250,EQ00023,Greater China,China,2024-02-19,2024,2,Planned Maintenance,22.31,True,T0019
C0000251,EQ00023,Greater China,China,2024-05-21,2024,5,Planned Maintenance,2.53,True,T0007
C0000252,EQ00023,Greater China,China,2024-07-02,2024,7,Planned Maintenance,10.69,True,T0070
C0000253,EQ00023,Greater China,China,2024-12-03,2024,12,Planned Maintenance,0.75,True,T0020
C0000254,EQ00023,Greater China,China,2025-01-08,2025,1,Planned Maintenance,1.2,True,T0095
C0000255,EQ00023,Greater China,China,2025-06-17,2025,6,Planned Maintenance,0.5,True,T0028
C0000256,EQ00023,Greater China,China,2025-08-11,2025,8,Planned Maintenance,5.31,True,T0059
C0000257,EQ00023,Greater China,China,2025-12-07,2025,12,Planned Maintenance,9.95,True,T0150
C0000258,EQ00024,Greater China,China,2023-02-20,2023,2,Planned Maintenance,7.85,True,T0173
C0000259,EQ00024,Greater China,China,2023-05-24,2023,5,Planned Maintenance,0.5,True,T0123
C0000260,EQ00024,Greater China,China,2023-07-22,2023,7,Planned Maintenance,8.42,False,T0001
C0000261,EQ00024,Greater China,China,2023-11-05,2023,11,Planned Maintenance,0.65,True,T0180
C0000262,EQ00024,Greater China,China,2024-01-18,2024,1,Planned Maintenance,5.79,True,T0075
C0000263,EQ00024,Greater China,China,2024-06-09,2024,6,Planned Maintenance,6.69,True,T0099
C0000264,EQ00024,Greater China,China,2024-09-09,2024,9,Planned Maintenance,5.33,True,T0087
C0000265,EQ00024,Greater China,China,2024-12-15,2024,12,Planned Maintenance,2.35,True,T0136
C0000266,EQ00024,Greater China,China,2025-02-08,2025,2,Planned Maintenance,0.5,True,T0024
C0000267,EQ00024,Greater China,China,2025-06-20,2025,6,Planned Maintenance,6.67,True,T0160
C0000268,EQ00024,Greater China,China,2025-07-10,2025,7,Planned Maintenance,1.92,True,T0147
C0000269,EQ00024,Greater China,China,2025-12-14,2025,12,Planned Maintenance,1.05,True,T0001
C0000270,EQ00025,Europe,Sweden,2023-01-01,2023,1,Planned Maintenance,5.87,True,T0004
C0000271,EQ00025,Europe,Sweden,2023-04-27,2023,4,Breakdown,16.25,True,T0007
C0000272,EQ00025,Europe,Sweden,2024-01-17,2024,1,Planned Maintenance,2.37,True,T0023
C0000273,EQ00025,Europe,Sweden,2024-04-13,2024,4,Breakdown,0.5,True,T0081
C0000274,EQ00025,Europe,Sweden,2025-03-03,2025,3,Planned Maintenance,2.71,True,T0009
C0000275,EQ00026,Americas,Canada,2023-01-08,2023,1,Planned Maintenance,5.63,True,T0152
C0000276,EQ00026,Americas,Canada,2023-06-07,2023,6,Planned Maintenance,0.51,True,T0153
C0000277,EQ00026,Americas,Canada,2023-09-11,2023,9,Planned Maintenance,1.35,True,T0107
C0000278,EQ00026,Americas,Canada,2023-12-25,2023,12,Planned Maintenance,7.17,True,T0098
